,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
6780,1.16127E+18,Great place to stay in Chicago.,116130012,Alexis,Not Available,New City,41.81092,-87.66603,Private room,31,32,0,Not Available,Not Available,5,0,0
6781,1.1615E+18,Located on Beautiful and Quite Boulevard!,146726224,Marco,Not Available,Belmont Cragin,41.92864632,-87.74304789,Entire home/apt,185,1,22,3/2/2025,2.48,4,156,22
6782,1.16164E+18,Place of Peace,179414591,Tavares,Not Available,Auburn Gresham,41.7318334,-87.6676536,Entire home/apt,207,32,0,Not Available,Not Available,1,365,0
6783,1.16168E+18,Wicker Park Suite w/ Backyard,313092207,Junior,Not Available,West Town,41.91099,-87.68543,Entire home/apt,140,3,5,11/28/2024,0.69,2,87,5
6784,1.16169E+18,Cozy lux apartment in Bucktown,75437827,Tomasz,Not Available,Logan Square,41.91575932,-87.6731598,Entire home/apt,126,1,16,2/19/2025,1.69,1,214,16
6785,1.16175E+18,Summer Dates Open: Live Like an A-ville Local!,23893046,Kory,Not Available,Edgewater,41.9806376,-87.67293716,Entire home/apt,0,3,16,3/2/2025,2.32,2,262,16
6786,1.16229E+18,Modern stand-alone COACH HOUSE,20267809,Elieke,Not Available,Logan Square,41.92424184,-87.68640731,Entire home/apt,204,2,3,11/17/2024,0.54,1,317,3
6787,1.1624E+18,Chicago 2 Bedroom Condo,41168909,Sean,Not Available,Avondale,41.9453715,-87.7050631,Entire home/apt,108,1,14,2/23/2025,2.35,1,63,14
6788,1.16244E+18,Massive 8bd/3ba Building w/ Two Car Garage!,66223998,Rafael,Not Available,Humboldt Park,41.89517584,-87.7108214,Entire home/apt,517,3,8,2/9/2025,0.91,4,224,8
6789,1.16247E+18,WrigleyGarden Apt Close2 Beaches,74888714,Jessica,Not Available,Lake View,41.9514972,-87.6553799,Entire home/apt,97,32,0,Not Available,Not Available,4,1,0
6790,1.16291E+18,The Vibe Headquarters,360676243,Brandi,Not Available,Woodlawn,41.78504,-87.6139,Entire home/apt,168,2,16,2/19/2025,1.68,1,251,16
6791,1.16302E+18,Queen Room with City View Near Pizzeria Uno CHI,446820235,LuxurybookingsFZE,Not Available,Near North Side,41.89191963,-87.62653628,Entire home/apt,0,32,0,Not Available,Not Available,123,1,0
6792,1.16303E+18,"Lux Loop Retreat: Amazing Views, Free Parking",25871759,Amanda,Not Available,Near South Side,41.85237,-87.62363,Entire home/apt,0,2,28,2/17/2025,3.22,2,0,28
6793,1.16305E+18,Convenient apartment in Lakeview,170551048,Lyn,Not Available,Lake View,41.95544814,-87.67048518,Entire home/apt,71,1,16,2/9/2025,1.87,22,0,16
6794,1.16306E+18,Tranquil Gold Coast Apt,509411955,Cameel,Not Available,Near North Side,41.90284,-87.63269,Entire home/apt,160,32,1,10/11/2024,0.19,13,364,1
6795,1.16308E+18,"Wicker Park Entire House, Private Yard and Parking",664304491,Michael,Not Available,West Town,41.90417424,-87.67712002,Entire home/apt,219,1,27,2/16/2025,2.82,1,345,27
6796,1.16313E+18,Greenwood Coach House,257588086,Kristina,Not Available,Greater Grand Crossing,41.7546516,-87.5985129,Entire home/apt,158,2,7,9/4/2024,0.8,2,268,7
6797,1.16314E+18,3BR Bungalow w/Bonus Room & Gym,250553925,Zaikeya,Not Available,South Shore,41.75584349,-87.57851872,Entire home/apt,253,2,12,3/2/2025,1.64,1,56,12
6798,1.16327E+18,*Brand New* Lincoln Park Remarkable,532482756,Khaled,Not Available,Lincoln Park,41.92779,-87.6522,Entire home/apt,128,1,61,3/10/2025,6.42,2,211,61
6799,1.16327E+18,Logan Square Hotel Room 308,565344683,Flora,Not Available,Logan Square,41.91653897,-87.69662795,Private room,55,32,1,10/19/2024,0.2,29,157,1
6800,1.16329E+18,Logan Square Hotel Room 203,565344683,Flora,Not Available,Logan Square,41.91660861,-87.69806293,Private room,0,32,0,Not Available,Not Available,29,176,0
6801,1.1633E+18,Logan Square Hotel Room 306,565344683,Flora,Not Available,Logan Square,41.91707158,-87.69815564,Private room,55,32,3,10/10/2024,0.39,29,176,3
6802,1.16331E+18,Logan Square Hotel Room 207,565344683,Flora,Not Available,Logan Square,41.91834,-87.69793,Private room,59,32,2,1/12/2025,0.29,29,118,2
6803,1.16387E+18,Traditional King Room Near 360 CHI,446820235,LuxurybookingsFZE,Not Available,Near North Side,41.8998783,-87.62264218,Entire home/apt,205,32,0,Not Available,Not Available,123,363,0
