,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
0,2384,Hyde Park - Walk to University of Chicago,2613,Rebecca,Not Available,Hyde Park,41.7879,-87.5878,Private room,125,3,250,10/14/2024,2.02,1,343,16
1,7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,Not Available,West Town,41.90166,-87.68021,Entire home/apt,81,2,569,2/9/2025,2.98,1,275,53
2,10945,The Biddle House (#1),33004,At Home Inn,Not Available,Lincoln Park,41.91196,-87.63981,Entire home/apt,187,4,117,1/2/2025,0.88,6,260,34
3,28749,Quirky Bucktown Loft w/ Parking No Parties,27506,Lauri,Not Available,Logan Square,41.91955,-87.70069,Entire home/apt,196,2,244,3/9/2025,1.4,1,55,47
4,71930,"Rest, Relax and Explore",334241,Michael And Veronica,Not Available,West Town,41.89615,-87.67934,Private room,76,3,129,11/26/2024,0.77,1,0,19
5,94450,Comfy Garden Suite in Andersonville,504470,Mark,Not Available,Edgewater,41.9796,-87.66512,Entire home/apt,109,3,32,10/14/2024,0.99,1,184,10
6,145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,Not Available,North Center,41.94342,-87.68121,Entire home/apt,230,32,77,5/5/2024,0.67,23,359,1
7,145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Not Available,Lincoln Park,41.91289,-87.63864,Entire home/apt,240,32,87,12/2/2024,0.73,23,356,1
8,189821,"Best in Chicago, private, amazing garden space",899757,Meighan,Not Available,Logan Square,41.92918,-87.70219,Entire home/apt,208,3,688,2/17/2025,4.19,1,196,42
9,207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,Not Available,Pullman,41.68843,-87.60712,Entire home/apt,167,32,320,2/1/2025,1.94,3,364,2
10,207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,Not Available,Pullman,41.68954,-87.60786,Entire home/apt,73,32,48,8/25/2024,0.29,3,0,2
11,220333,Pullman School House Apartment - monthly rental,1019125,Jb,Not Available,Pullman,41.68912,-87.60725,Entire home/apt,167,32,6,7/3/2024,0.04,3,365,2
12,225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,Not Available,Logan Square,41.92589,-87.69737,Private room,86,2,30,8/3/2024,0.2,1,159,4
13,233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,Not Available,Irving Park,41.95758,-87.7271,Private room,57,2,201,12/29/2024,1.23,2,79,33
14,250354,Close to Michigan Ave and parks,1311953,Ronald,Not Available,Near South Side,41.85923,-87.62198,Entire home/apt,0,180,35,1/15/2018,0.22,1,358,0
15,264547,Steps From the Best Chicago Offers,1387948,Dominic,Not Available,Near West Side,41.88413,-87.64315,Entire home/apt,272,32,63,10/17/2021,0.4,1,362,0
16,289689,"28 Day+ Med student, interns & interim stays.",1376077,Killian,Not Available,Edgewater,41.97806,-87.65676,Private room,39,32,71,12/4/2024,0.44,1,203,3
17,345075,"Spacious, Vintage Hyde Park Apt.3",1746524,Patricia,Not Available,Kenwood,41.80774,-87.59459,Private room,115,2,295,10/27/2024,1.87,1,2,12
18,350347,2bd/2bath Urban Loft w/ 2 pkg spots 1 blk to train,845242,Jay,Not Available,Lake View,41.94107,-87.65492,Entire home/apt,181,3,786,3/2/2025,4.95,1,214,53
19,372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,Hans,Not Available,West Town,41.89629,-87.65704,Entire home/apt,284,2,311,1/26/2025,2.07,2,309,22
20,404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,Not Available,West Town,41.88947,-87.66933,Entire home/apt,130,21,225,11/3/2024,1.46,1,25,7
21,464581,"Large, Private Logan Square Studio",2308792,Jonathan,Not Available,Logan Square,41.92518,-87.69549,Entire home/apt,67,32,649,1/29/2025,4.25,1,92,4
22,507517,Private Lincoln Square Garden Apt,2501182,Nate,Not Available,Lincoln Square,41.96678,-87.6973,Entire home/apt,112,2,432,2/17/2025,2.8,1,118,32
23,542067,Logan Square Modern Vintage Garden,2273840,Sarah,Not Available,Logan Square,41.93142,-87.69989,Entire home/apt,145,3,305,8/18/2024,1.97,1,0,2
24,584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,Not Available,Lincoln Square,41.96528,-87.6831,Private room,37,32,56,1/11/2025,0.37,2,90,4
25,634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,Not Available,Edgewater,41.99688,-87.66449,Private room,64,3,142,11/2/2024,0.93,2,332,22
26,640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,Not Available,Lake View,41.94256,-87.67171,Entire home/apt,238,4,101,12/30/2024,1.23,1,0,10
27,651742,Edgebrook Lg bdr by golf course,2824576,Jeff,Not Available,Forest Glen,41.99178,-87.75747,Private room,82,2,119,10/16/2024,0.81,2,2,16
28,662034,Edgebrook bdr by golf course,2824576,Jeff,Not Available,Forest Glen,41.99405,-87.75746,Private room,73,2,99,10/14/2024,0.7,2,359,8
29,681842,Bedrm/Bath - Swanky Northside Condo,3472696,Roxane,Not Available,West Ridge,41.99373,-87.68279,Private room,61,32,32,12/11/2024,0.22,2,203,4
30,697634,"2 BD Condo by downtown,park,lake",3574415,Marvin Stanley,Not Available,Near North Side,41.90437,-87.6335,Entire home/apt,105,32,160,5/26/2024,1.12,2,195,1
31,726376,"Spacious Studio, Amazing Location!",2658212,James,Not Available,Lake View,41.93903,-87.65196,Entire home/apt,122,2,874,2/23/2025,5.8,3,19,71
32,739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,Not Available,Lincoln Square,41.9765,-87.68144,Entire home/apt,180,7,218,12/3/2024,1.54,1,220,3
33,755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vasileios,Not Available,Logan Square,41.93115,-87.71836,Entire home/apt,68,32,31,12/4/2024,0.22,4,192,4
34,863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla And Enki,Not Available,Lincoln Park,41.92218,-87.66079,Private room,91,2,160,2/9/2025,1.13,1,0,8
35,929914,Victorian Home meets Mid-Century Modern Decor,5007980,Lynn,Not Available,Lincoln Park,41.91241074,-87.63896942,Entire home/apt,0,3,504,11/18/2024,3.46,1,0,34
36,931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,Not Available,East Garfield Park,41.88538,-87.69801,Private room,172,32,22,11/2/2018,0.15,1,362,0
37,960326,The Penthouse Gallery at OHC - No Cleaning Fee!,5228189,Matthew,Not Available,West Town,41.89602,-87.65659,Entire home/apt,232,2,473,2/23/2025,3.3,18,336,47
38,966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,Not Available,Near West Side,41.86801,-87.67877,Entire home/apt,137,32,41,9/1/2023,0.28,1,57,0
39,979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,Not Available,Rogers Park,42.00588,-87.66853,Private room,74,2,341,12/12/2024,2.35,4,342,28
40,979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,Not Available,Rogers Park,42.00477,-87.66842,Private room,73,2,379,2/9/2025,2.63,4,314,34
41,979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,Not Available,Rogers Park,42.00378,-87.66807,Private room,73,2,341,12/20/2024,2.35,4,347,30
42,983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,Not Available,Rogers Park,42.00456,-87.67058,Entire home/apt,179,2,292,12/31/2024,2.04,4,315,30
43,1020810,Beautiful Condo in Chicago,3843347,Andrea,Not Available,Near North Side,41.89395,-87.62593,Entire home/apt,95,32,42,12/20/2024,0.29,3,1,4
44,1027463,Chicago Women's Residence Florence Comfy Rm,5654677,Urban Art,Not Available,North Lawndale,41.8544,-87.70852,Private room,45,32,11,9/5/2021,0.1,3,68,0
45,1027741,Chicago Women's Residence Midler Rm,5654677,Urban Art,Not Available,North Lawndale,41.85454,-87.70802,Private room,45,32,5,10/13/2019,0.06,3,106,0
46,1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,3965428,Paul,Not Available,Near South Side,41.85395,-87.62468,Entire home/apt,135,32,17,12/7/2024,0.12,24,210,1
47,1171860,"Lincoln Park Studio, Great Value!",2658212,James,Not Available,Lincoln Park,41.92655,-87.64226,Entire home/apt,83,2,741,12/30/2024,5.21,3,32,45
48,1185749,3 Bedroom Vintage Hideaway In Little Italy/uic,1664593,Matt And Christy,Not Available,Near West Side,41.87033,-87.6826,Entire home/apt,174,3,377,2/24/2025,2.63,1,0,13
49,1195259,Wicker Park - Garden At The Heart of It All,2899484,Jason,Not Available,West Town,41.90914,-87.67859,Entire home/apt,161,5,216,1/2/2025,1.51,2,261,4
50,1242709,Beautiful/Large SE Evanston Apt,1254363,Mark,Not Available,Rogers Park,42.01938,-87.67985,Entire home/apt,122,7,17,9/30/2024,0.14,1,364,1
51,1304049,Private room near UIC Medical Dist.,7089017,Sharon,Not Available,Near West Side,41.86967,-87.68284,Private room,45,32,125,8/11/2024,0.89,1,252,2
52,1321332,Lincoln Park Single Family Home,946954,Jeff,Not Available,Lincoln Park,41.93089,-87.66946,Entire home/apt,447,2,116,9/22/2024,0.84,1,282,3
53,1356190,Logan Square Vintage Deluxe Private Suite & Bath,3069675,Gabrielle,Not Available,Logan Square,41.91984,-87.68962,Private room,92,3,476,3/10/2025,3.4,1,250,47
54,1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,Not Available,Lake View,41.9459,-87.65461,Private room,0,32,40,5/23/2021,0.3,2,0,0
55,1392594,"Bright open house, garden & deck",7528098,Eileen,Not Available,Uptown,41.96909,-87.67407,Entire home/apt,200,3,32,8/7/2024,0.23,1,179,2
56,1461451,02b. Twin bed in Coed Space,2907254,Joseph,Not Available,West Ridge,42.01653,-87.68788,Shared room,18,1,209,1/5/2025,1.48,13,0,19
57,1502674,The Biddle House (#2),33004,At Home Inn,Not Available,Lincoln Park,41.91175,-87.63834,Entire home/apt,120,4,143,2/4/2025,1.02,6,266,26
58,1502700,The Biddle House,33004,At Home Inn,Not Available,Lincoln Park,41.91184,-87.63963,Entire home/apt,431,32,16,9/2/2019,0.12,6,0,0
59,1554433,Charming Home in Chicago,6088938,Eric,Not Available,Beverly,41.71554,-87.67197,Private room,44,32,200,8/6/2024,1.43,2,364,1
60,1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,Not Available,Lower West Side,41.85592,-87.66249,Private room,54,2,430,12/27/2024,4.93,2,0,52
61,1584422,Magic Factory Loft 2West,2810938,Carole,Not Available,Near North Side,41.90532,-87.64761,Entire home/apt,374,3,52,10/14/2024,0.37,3,305,6
62,1591370,Cozy Northside Apt near Trans&Beach&Free St Prking,8489460,Holly + Mark,Not Available,Rogers Park,42.01177,-87.67758,Entire home/apt,123,2,209,12/13/2024,1.49,1,215,19
63,1614802,"Contemporary, private suite w fireplace",8595700,Carin,Not Available,Lake View,41.93455,-87.66141,Entire home/apt,68,4,395,3/2/2025,2.97,1,2,41
64,1620098,Bedroom + apartment in Lincoln Park,8619275,Leszek,Not Available,Lincoln Park,41.92817,-87.64282,Entire home/apt,140,1,82,10/27/2024,0.59,1,87,14
65,1663673,iKlektik House Chicago / Cardinal,8813383,Mindy + Tony,Not Available,West Town,41.89322,-87.68572,Entire home/apt,97,2,434,2/24/2025,3.2,3,2,35
66,1759266,Lakeview / Lincoln Park Vintage,9249272,Mark,Not Available,Lake View,41.93396,-87.65897,Entire home/apt,121,2,90,3/2/2025,0.69,1,225,10
67,1769731,1 Bedroom Across from Wrigley Field MVP Suite,9297431,Inn At Wrigleyville,Not Available,Lake View,41.94747,-87.65417,Entire home/apt,222,1,31,12/8/2024,0.69,6,0,9
68,1772920,3 Bedroom Across from Wrigley Field AllStar Suite,9297431,Inn At Wrigleyville,Not Available,Lake View,41.94842,-87.65307,Entire home/apt,450,1,21,1/19/2025,0.15,6,165,7
69,1773021,4 Bedroom Across from Wrigley Field Stadium Suite,9297431,Inn At Wrigleyville,Not Available,Lake View,41.94774,-87.65421,Entire home/apt,593,1,52,1/1/2025,1.09,6,151,18
70,1773025,4 Bedroom Across from Wrigley Field Legend Suite,9297431,Inn At Wrigleyville,Not Available,Lake View,41.9475,-87.6542,Entire home/apt,636,1,37,12/29/2024,0.78,6,165,12
71,1810118,LARGE 1BR/Private Full Bath near U of Chicago,9483312,Ryan,Not Available,Woodlawn,41.77738,-87.60041,Private room,70,4,373,10/14/2024,2.77,2,102,8
72,1837153,Musician's Quarters,9601147,Chester,Not Available,Hyde Park,41.79989,-87.59432,Entire home/apt,0,32,60,10/3/2024,0.44,1,0,2
73,1854000,Elegant Lakefront Near Wrigley Field Lake Michigan,9471604,James,Not Available,Lincoln Park,41.93264,-87.64311,Entire home/apt,435,32,155,8/9/2022,1.14,1,365,0
74,1869568,"Homey, cozy and comfortable!",1971382,Esmirna,Not Available,North Lawndale,41.8563826,-87.71415361,Private room,59,1,3,11/19/2024,0.22,4,328,2
75,1921670,The Avondale Garden Unit,9959757,Jedidiah,Not Available,Irving Park,41.94663,-87.70783,Entire home/apt,127,2,352,2/16/2025,2.87,9,319,34
76,1931880,Charming Mid-Century Designed Apt in E Lakeview,4995578,George,Not Available,Lake View,41.93564,-87.6424,Entire home/apt,183,32,1,9/5/2022,0.03,1,90,0
77,1939467,"Rm 1, Quiet&Cozy in Old Irving - NonSmokers, only",8292749,Ilya,Not Available,Irving Park,41.95998186,-87.73006782,Private room,58,32,5,8/31/2024,0.24,2,58,2
78,1984545,Soulful Living 3B-3B Home Hyde Park/Bronzeville,4010906,Bobbie,Not Available,Grand Boulevard,41.81961,-87.61324,Entire home/apt,251,32,4,6/6/2017,0.03,6,365,0
79,2011301,Bucktown - Great Northside Location,5166793,Bradley,Not Available,Logan Square,41.92118,-87.68678,Private room,75,2,302,2/1/2025,2.2,2,0,20
80,2062638,Downtown Urban Oasis 3BR + Huge Deck & Parking!,1876597,Hans,Not Available,West Town,41.89821,-87.6572,Entire home/apt,206,2,227,11/18/2024,1.66,2,353,16
81,2103986,Mid-Century Townhouse in Lakeview,1838943,Sunnie/Randolph,Not Available,Lake View,41.93338,-87.63913,Private room,86,1,172,12/22/2024,1.31,1,1,14
82,2139407,Urban Farm Fun!  Walk to Metra/CTA,10917550,Nicky,Not Available,Humboldt Park,41.88849,-87.70648,Entire home/apt,81,2,613,11/4/2024,4.51,5,305,40
83,2298310,"Hyde Park / Kenwood, U of Chicago. Free bike.",1385332,Pattaraporn,Not Available,Kenwood,41.80239,-87.60244,Private room,67,3,64,12/7/2024,0.48,18,1,7
84,2396340,The Woodsman's Gallery at OHC - No Cleaning Fee!,5228189,Matthew,Not Available,West Town,41.89634,-87.65608,Entire home/apt,210,2,542,2/26/2025,4.05,18,1,46
85,2437230,City Hideaway,7000138,Brock & Kim,Not Available,North Center,41.94272,-87.68409,Entire home/apt,162,2,107,12/1/2024,0.82,1,137,9
86,2479175,Cozy Garden-Subterranean Apartment,12681444,Jenny,Not Available,Lincoln Square,41.96316,-87.69208,Entire home/apt,78,2,289,12/14/2024,2.18,1,35,23
87,2499596,Vintage Apartment in the Heart of the Ukrainian Village,2768314,Jason,Not Available,West Town,41.90006,-87.68096,Entire home/apt,134,10,192,2/22/2025,1.43,3,66,12
88,2515629,"Cozy, Quiet, Private bathroom in private room",12877384,Tanya,Not Available,East Garfield Park,41.88152,-87.69768,Private room,35,7,186,3/7/2025,1.44,2,137,14
89,2519442,"Warm Cozy Suite, Private Bath, Free Street Parking",7858620,Cynthia,Not Available,Washington Park,41.79606,-87.62382,Private room,80,2,128,12/28/2024,0.97,1,361,17
90,2543231,Private room near Downtown,2850286,Amado,Not Available,Lower West Side,41.85669,-87.65132,Private room,59,32,245,9/1/2022,1.84,1,179,0
91,2564678,Even Cowgirls Get The Blues Rm.,5654677,Urban Art,Not Available,South Lawndale,41.85295,-87.70686,Private room,45,32,6,9/13/2021,0.05,3,161,0
92,2695259,Grand Vintage Lincoln Park Penthouse 3 Bedrooms,13793246,Kristi,Not Available,Lake View,41.93308,-87.6511,Entire home/apt,0,1,162,10/22/2023,1.77,1,0,0
93,2715815,Great Location w/Fast Wi-Fi King Bed DESK GYM A+,3965428,Paul,Not Available,Near South Side,41.85361,-87.62434,Entire home/apt,0,32,17,10/19/2023,0.13,24,206,0
94,2748293,"Entire Modern 1 BR Condo, Long Term Rental Only",2539247,Huiri,Not Available,Near South Side,41.86307,-87.62371,Entire home/apt,75,179,3,5/19/2015,0.02,2,1,0
95,2824585,#54-Home away from home- Safe place,13389580,Ed,Not Available,Dunning,41.9443,-87.79831,Private room,43,32,30,8/1/2024,0.23,2,365,1
96,2844042,iKlektik House Chicago / BlueJay,8813383,Mindy + Tony,Not Available,West Town,41.89288,-87.68458,Entire home/apt,113,2,184,3/6/2025,1.39,3,1,19
97,2874486,Gorgeous Penthouse with Stunning Views from Private Rooftop,14692157,Ross,Not Available,West Town,41.90026,-87.66871,Entire home/apt,189,2,277,12/9/2024,2.69,1,214,32
98,2907500,The Red Room,11231030,Erik,Not Available,West Lawn,41.78225,-87.72806,Private room,44,1,382,2/25/2025,2.96,2,328,33
99,3031898,Art Collector's Pied-a'-terre,15442332,Karen Sophie,Not Available,South Shore,41.77206,-87.56982,Entire home/apt,105,32,246,2/7/2025,1.87,1,254,1
100,3053081,Relaxed Bucktown/Wicker Park 1B Apt,1368870,Paul,Not Available,Logan Square,41.91571,-87.67449,Entire home/apt,87,2,524,3/12/2025,3.98,1,0,51
101,3068787,Lincoln Square Modern 2 Bed 2 Bath,7780304,Mark And Collette,Not Available,North Center,41.96136,-87.6784,Entire home/apt,191,3,195,1/6/2025,1.68,1,270,38
102,3083343,Splendid 2 Bedroom Flat +In-Unit Laundry & Porch,209564,Amitabh,Not Available,Logan Square,41.91533279,-87.67047882,Entire home/apt,169,2,153,1/9/2025,1.21,6,69,20
103,3088192,2nd floor of 1908 brick two-flat in Logan Square,15710890,Paul & Sarah,Not Available,Logan Square,41.93105,-87.71177,Entire home/apt,154,1,504,3/2/2025,3.86,1,87,46
104,3105733,King Bed in Private room in 3 BR,12416635,David,Not Available,Near West Side,41.86968,-87.68582,Private room,113,4,24,3/30/2020,0.18,1,102,0
105,3167664,"Ample Artsy Condo w Open Kitchen, Deck",1970552,Evan & Lindsey,Not Available,Rogers Park,42.00561,-87.67074,Entire home/apt,0,32,51,10/20/2015,0.39,1,76,0
106,3172794,LOFT606:  Gigantic Sunlit Former Factory Home,16090300,John,Not Available,Logan Square,41.91634,-87.69335,Entire home/apt,868,1,89,12/29/2024,0.69,9,340,7
107,3177497,Cozy Gotham Private King Bed & Bath near the Lake!,13374424,RaeGina,Not Available,Rogers Park,42.0137778,-87.67188185,Private room,0,28,18,10/15/2024,0.16,1,0,8
108,3267902,Ravenswood Guest House Annex,2676165,Richard,Not Available,Edgewater,41.98908,-87.66697,Entire home/apt,98,1,419,2/16/2025,3.2,1,225,44
109,3292054,The Roscoe House near Wrigley Field,5960265,Courtney And Garrett,Not Available,Lake View,41.94278,-87.65621,Entire home/apt,228,4,323,3/11/2025,2.49,2,300,67
110,3308694,"""The Annex II"" Huge 1,600 Sq foot Apartment",16707041,Matthew,Not Available,Near West Side,41.88711,-87.6438,Entire home/apt,356,2,136,11/18/2024,1.32,2,260,20
111,3329088,East Garfield Park 2 Bedroom,16807770,William,Not Available,East Garfield Park,41.88367,-87.70864,Entire home/apt,140,3,160,11/30/2024,1.23,1,334,26
112,3373118,"2-BR, 2-BA Luxury Condo Humboldt Park",3533788,Janet,Not Available,West Town,41.90975,-87.69636,Entire home/apt,130,14,0,Not Available,Not Available,1,363,0
113,3385966,Welcome to your 2BD Penthouse,9995028,Chad,Not Available,Lake View,41.93594,-87.66953,Entire home/apt,175,32,190,11/11/2023,1.58,1,328,0
114,3394750,Park Side Apt. Walk to Orange Line!,8781008,Jenn,Not Available,Mckinley Park,41.8251,-87.6739,Entire home/apt,77,1,110,2/17/2025,1.23,2,149,1
115,3434136,Beautiful West Lakeview location,17217012,Janet,Not Available,Lake View,41.94159,-87.65099,Private room,86,32,177,10/15/2023,1.37,1,362,0
116,3445991,"#55-Clean,Great area. free parking, 24h check in.",13389580,Ed,Not Available,Dunning,41.94418,-87.79895,Private room,35,32,7,1/12/2025,0.05,2,69,1
117,3453656,Private large room with your own bathroom,17405364,Jennifer,Not Available,Rogers Park,42.00146,-87.66982,Private room,0,7,48,1/24/2025,0.41,3,0,7
118,3517984,Private room w/bath in urban canopy,11294056,Amanda,Not Available,Hyde Park,41.79963,-87.59186,Private room,65,1,487,3/3/2025,3.78,1,26,57
119,3570616,1 Bedroom Victorian Beauty at Logan Square!,3920450,Vasileios,Not Available,Logan Square,41.93047,-87.7196,Entire home/apt,71,32,160,10/1/2024,1.24,4,271,2
120,3590692,"Modern, Super-CLEAN, Garden Level  Bedroom 3",12955486,Luke & Ligia,Not Available,Edgewater,41.99103,-87.66166,Private room,46,20,48,10/9/2024,0.37,3,148,2
121,3638744,Chicago Suite 1BR/1BA (3709-G2),837429,Petru,Not Available,Irving Park,41.95965,-87.72016,Entire home/apt,91,14,48,11/15/2024,0.38,1,227,2
122,3639045,Modern suite in Victorian Garden setting.,8607123,Grainne,Not Available,West Ridge,41.99595,-87.67545,Entire home/apt,59,32,6,7/20/2024,0.08,1,221,1
123,3696178,Beautiful condo close to the beach,18742622,Barbara,Not Available,Rogers Park,42.0222,-87.67226,Private room,46,3,82,12/12/2024,0.68,2,312,9
124,3742513,03a. Queen sized in coed room,2907254,Joseph,Not Available,West Ridge,42.0168,-87.68771,Shared room,18,1,170,10/21/2024,1.32,13,343,10
125,3761023,"Free parking, close to public transit, dining",14015437,Andrew &  Diane,Not Available,Bridgeport,41.83615,-87.64638,Entire home/apt,0,3,102,12/29/2024,0.96,1,0,24
126,3783533,"""Home Away from Home"" - Free Street Parking!",19416379,Glenda,Not Available,Humboldt Park,41.898048,-87.702972,Entire home/apt,114,28,365,3/1/2025,2.86,1,180,2
127,3792844,Luxury One Bedroom One-Private bathroom on beach,19471032,Alberto,Not Available,Loop,41.877,-87.63055,Private room,60,32,12,12/12/2024,0.27,1,228,2
128,3809530,Best location in Chicago! Superhost,19578992,Laura,Not Available,West Town,41.90173,-87.67359,Entire home/apt,257,32,103,10/9/2023,0.8,3,364,0
129,3811926,The Blue Room,11231030,Erik,Not Available,West Lawn,41.78392,-87.72921,Private room,37,1,528,10/28/2024,4.09,2,302,25
130,3897045,Chic and modern - Best location in Chicago,3843347,Andrea,Not Available,Near North Side,41.89637,-87.62726,Entire home/apt,162,32,38,8/4/2024,0.3,3,187,1
131,3924599,Unique and Chic 1,4010906,Bobbie,Not Available,Grand Boulevard,41.8198,-87.61423,Private room,130,5,8,9/16/2022,0.06,6,1,0
132,3953322,Spacious Luxury Townhouse - Old Town,20490917,Robert,Not Available,Lincoln Park,41.91374,-87.64014,Entire home/apt,150,2,231,3/10/2025,2.09,2,305,42
133,3962072,SPACIOUS and VERY BRIGHT 2BDR LOFT near DOWNTOWN,20528154,Gabriela,Not Available,Near West Side,41.88503,-87.68664,Entire home/apt,106,3,140,11/5/2024,1.09,1,337,13
134,3979320,2 Room Apartment in Vintage Bldg,20624213,Karen,Not Available,Uptown,41.95652,-87.64982,Entire home/apt,103,3,33,2/10/2025,3.4,2,243,33
135,3979385,Private 3rd Floor Apartment,20624213,Karen,Not Available,Uptown,41.95669,-87.64847,Entire home/apt,162,3,362,1/2/2025,2.82,2,222,31
136,4083903,"Beautiful, Spacious Historic Greystone Unit.",21178487,Fatimah,Not Available,Grand Boulevard,41.80392,-87.6108,Entire home/apt,171,32,3,3/1/2020,0.05,1,89,0
137,4096995,Spacious Private Room w/ king bed,2880338,Elizabeth,Not Available,Uptown,41.96264,-87.67296,Private room,46,32,36,12/21/2024,0.29,2,89,5
138,4105283,Short-Term Sublet Near Lake Michigan,18649856,Rachel,Not Available,Edgewater,41.99701,-87.66099,Entire home/apt,0,75,212,8/4/2024,1.67,1,38,1
139,4150121,Stunning Chicago Loft Near Wrigley Field,2441500,Lisa,Not Available,Lake View,41.94987,-87.64611,Entire home/apt,127,2,521,1/11/2025,4.11,1,124,37
140,4156913,Near Lake Michigan & Wrigley Field,6874747,Brian,Not Available,Uptown,41.96705,-87.65772,Entire home/apt,197,2,261,3/13/2025,2.19,1,115,70
141,4214683,"Mid City, Vintage, Close to O'Hare Pvt Room",21872907,Tamiz,Not Available,Irving Park,41.95107,-87.71005,Private room,70,3,177,2/17/2025,1.4,1,241,22
142,4243309,Sleek Wrigleyville/Boystown Condo with Rooftop Skyline Views,21924626,Nathan,Not Available,Lake View,41.94124,-87.64941,Private room,0,1,403,2/17/2025,3.24,2,107,27
143,4243905,Historic house in hip Logan Square,22022871,Jill,Not Available,Logan Square,41.9254,-87.69753,Entire home/apt,250,32,53,11/7/2023,0.45,1,365,0
144,4257285,The Stained Glass Apt. Edgewater #2,2915265,Felice,Not Available,Edgewater,41.99632,-87.66385,Private room,60,3,98,12/1/2024,0.77,2,334,27
145,4264117,Cozy Chicago Stay in Heart of Lincoln Square,1368349,Nancy,Not Available,Lincoln Square,41.96745,-87.68424,Entire home/apt,76,1,19,11/22/2021,0.17,1,45,0
146,4278818,Unique and Chic 2,4010906,Bobbie,Not Available,Grand Boulevard,41.81873,-87.61387,Entire home/apt,109,5,22,10/17/2024,0.19,6,1,1
147,4335812,Garden Suite,4010906,Bobbie,Not Available,Grand Boulevard,41.81793,-87.61291,Private room,114,5,13,9/4/2024,0.11,6,365,1
148,4365466,01a. Full bed in Shared Space - Female Guests Only,2907254,Joseph,Not Available,West Ridge,42.01653,-87.68788,Shared room,18,1,121,12/3/2024,0.96,13,0,8
149,4370895,Sun-drenched Vintage Flat with a Lake view,10691960,Kayla,Not Available,Near North Side,41.90487,-87.62747,Entire home/apt,271,32,96,6/6/2022,0.77,1,178,0
150,4394093,Private bed/bath in beautiful home,22810362,Anne,Not Available,Lake View,41.95518,-87.66999,Private room,85,3,36,8/19/2023,0.3,1,77,0
151,4417718,"Cozy, Bright Basement Guest Suite",1096941,Angela,Not Available,Irving Park,41.96114,-87.70514,Private room,75,25,27,12/14/2024,0.22,1,0,2
152,4457161,"Comfy 3BD/1BA, garage spot included",23128169,Jeanne,Not Available,North Center,41.95931,-87.67795,Entire home/apt,204,2,102,2/16/2025,0.81,1,122,12
153,4567558,2 Bedrooms are perfect for groups up to 3 guests,2169532,Adam,Not Available,Irving Park,41.95501,-87.73814,Private room,107,32,131,10/11/2022,1.06,1,89,0
154,4592031,UPTOWN ROW HOUSE-SPACIOUS PRIVATE SHARED ROOM(S),23803571,Tomasso,Not Available,Uptown,41.96574,-87.65747,Private room,90,1,150,11/5/2024,1.52,1,0,13
155,4598631,7 Beds 2 floor Apt : NO Parties,1649647,Bianca,Not Available,West Town,41.9116,-87.66693,Entire home/apt,189,32,307,4/1/2023,2.45,5,70,0
156,4632510,Spacious two bedroom with patio!,1563534,Lizzie,Not Available,West Town,41.90376,-87.69556,Entire home/apt,0,32,163,6/1/2024,1.31,1,151,1
157,4662201,"Great location, large space",24124115,Syed,Not Available,West Town,41.900188,-87.661751,Entire home/apt,115,32,28,10/15/2022,0.22,1,0,0
158,4730797,Home in Vibrant Logan Square,2892101,Justine,Not Available,Logan Square,41.92125,-87.70158,Private room,68,4,134,8/22/2024,1.1,2,102,10
159,4731523,A Cozy Room for Two in Vibrant Logan Square,2892101,Justine,Not Available,Logan Square,41.92286,-87.70154,Private room,53,4,98,2/17/2025,0.79,2,116,16
160,4786970,Large room in Art Gallery ((:,24676863,William,Not Available,West Town,41.90992,-87.67521,Private room,93,32,69,11/10/2023,0.57,2,1,0
